CPU Frequency,Percent CPU Usage,CPU User Time,CPU System Time,CPU Idle Time,Percent Memory Usage,Network Bytes Sent,Network Bytes Recieved,Network Upload Rate,Network Download Rate,Temperature,Bit Rate
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0292,0.0306,0.0383,0.0,0.0351,0.0337,0.0,0.0,0.0,0.0
0.001,0.0038,1.0,0.0122,0.0,0.5826,0.7176,0.0801,0.9658,0.907,0.0042,0.9865
0.0009,0.004,0.0202,1.0,0.0717,0.816,0.9495,0.0239,0.9971,0.9858,0.0042,0.564
0.0007,0.0042,0.0,0.0914,1.0,0.5407,0.0079,0.2168,0.9299,0.8824,0.0046,0.5446
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0004,0.0019,0.0,0.0,0.0,0.8287,1.0,0.0,0.0,0.535,0.0024,0.956
0.0008,0.0037,0.0865,0.0252,0.1791,0.7566,0.0,1.0,0.8376,0.8438,0.004,0.8156
0.0073,0.0,0.0,0.0,0.0,0.0,0.0,0.5566,1.0,0.0,0.0511,0.0
0.0,0.0,0.0046,0.0097,0.0282,0.0,0.0196,0.0138,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0002,0.0,0.0001,0.0,0.0,0.0,0.0,1.0
